
UniqueId,FromPaperId,CitedPaperId,TimeStamp
20170810034636-001-01-60,2165467455,1991199257,2017-08-10 15:47:17
20170810034636-001-01-62,2165467455,2162653998,2017-08-10 15:47:17
20170810034636-001-01-64,2165467455,2152891152,2017-08-10 15:47:17
20170810034636-001-01-66,2165467455,2069587534,2017-08-10 15:47:17
20170810034636-001-01-68,2165467455,901556,2017-08-10 15:47:17
20170810034636-001-01-70,2165467455,2122789628,2017-08-10 15:47:17
20170810034636-001-01-72,2165467455,2072627547,2017-08-10 15:47:17
20170810034636-001-01-74,2165467455,2038429440,2017-08-10 15:47:17
20170810034636-001-01-76,2165467455,2338322935,2017-08-10 15:47:17
20170810034636-001-01-78,2165467455,2164636932,2017-08-10 15:47:17
20170810034636-001-01-80,2165467455,2031900922,2017-08-10 15:47:17
20170810034636-001-01-82,2165467455,2133384222,2017-08-10 15:47:17
20170810034636-001-01-84,2165467455,2153329411,2017-08-10 15:47:17
20170810034636-001-01-86,2165467455,2102765175,2017-08-10 15:47:17
20170810034636-001-01-88,2165467455,2014575573,2017-08-10 15:47:17
20170810034636-001-01-90,2165467455,2116436709,2017-08-10 15:47:17
20170810034636-001-01-92,2165467455,2115806861,2017-08-10 15:47:17
20170810034636-001-01-94,2165467455,2128404249,2017-08-10 15:47:17
20170810034636-001-01-96,2165467455,2092512344,2017-08-10 15:47:17
20170810034636-001-01-98,2165467455,2113827629,2017-08-10 15:47:17
20170810034636-001-01-1,2165467455,2058424950,2017-08-10 15:47:17
20170810034636-001-01-3,2165467455,2114226753,2017-08-10 15:47:17
20170810034636-001-01-5,2165467455,2006320931,2017-08-10 15:47:17
20170810034636-001-01-7,2165467455,2067481201,2017-08-10 15:47:17
20170810034636-001-01-9,2165467455,1485665416,2017-08-10 15:47:17
20170810034636-001-01-11,2165467455,2139525791,2017-08-10 15:47:17
20170810034636-001-01-13,2165467455,2147869465,2017-08-10 15:47:17
20170810034636-001-01-15,2165467455,2162736805,2017-08-10 15:47:17
20170810034636-001-01-17,2165467455,2032133388,2017-08-10 15:47:17
20170810034636-001-01-19,2165467455,1487405157,2017-08-10 15:47:17
20170810034636-001-01-21,2165467455,2123418328,2017-08-10 15:47:17
20170810034636-001-01-23,2165467455,56165858,2017-08-10 15:47:17
20170810034636-001-01-25,2165467455,2130387020,2017-08-10 15:47:17
20170810034636-001-01-27,2165467455,2118791211,2017-08-10 15:47:17
20170810034636-001-01-29,2165467455,2019540883,2017-08-10 15:47:17
20170810034636-001-01-31,2165467455,2092842298,2017-08-10 15:47:17
20170810034636-001-01-33,2165467455,2112708371,2017-08-10 15:47:17
20170810034636-001-01-35,2165467455,2015372451,2017-08-10 15:47:17
20170810034636-001-01-37,2165467455,2116407296,2017-08-10 15:47:17
20170810034636-001-01-39,2165467455,2100850394,2017-08-10 15:47:17
20170810034636-001-01-41,2165467455,1985239372,2017-08-10 15:47:17
20170810034636-001-01-43,2165467455,2099637074,2017-08-10 15:47:17
20170810034636-001-01-45,2165467455,1976022204,2017-08-10 15:47:17
20170810034636-001-01-47,2165467455,2022431239,2017-08-10 15:47:17
20170810034636-001-01-49,2165467455,2125791539,2017-08-10 15:47:17
20170810034636-001-01-51,2165467455,2115121100,2017-08-10 15:47:17
20170810034636-001-01-53,2165467455,2014712522,2017-08-10 15:47:17
20170810034636-001-01-55,2165467455,2042893791,2017-08-10 15:47:17
20170810034636-001-01-57,2165467455,2136379584,2017-08-10 15:47:17
20170810034636-001-01-59,2165467455,2092179332,2017-08-10 15:47:17
20170810034636-001-01-61,2165467455,2128051924,2017-08-10 15:47:17
20170810034636-001-01-63,2165467455,2028544887,2017-08-10 15:47:17
20170810034636-001-01-65,2165467455,2109730248,2017-08-10 15:47:17
20170810034636-001-01-67,2165467455,2126703991,2017-08-10 15:47:17
20170810034636-001-01-69,2165467455,2043024794,2017-08-10 15:47:17
20170810034636-001-01-71,2165467455,2148351334,2017-08-10 15:47:17
20170810034636-001-01-73,2165467455,2295562782,2017-08-10 15:47:17
